2,1.5,984,1964,1,105000,41523,115000,4.49,105000
2,2,996,1973,1,108000,40931,108000,3.92,108000
4,2.75,1290,1962,2,165000,41006,165000,3.91,164000
2,2,952,1973,1,120000,41015,76500,3.91,72000
2,2,1065,1972,1,76000,41074,67000,3.68,64900
2,1.5,1119,1983,2,180000,41481,190000,4.37,180000
2,1.75,874,1972,2,139000,41479,159000,4.37,139000
2,1.5,973,1972,1,127000,41443,125000,4.07,135000
2,2,1353,1964,2,189950,41330,202500,3.53,189950
3,2.5,1591,1992,2,160000,41092,150000,3.55,160000
2,2,1027,1964,1,75000,41157,91000,3.5,75000
3,2,1123,1963,2,175000,41508,195000,4.46,175000
2,2,958,1965,2,71300,41159,71300,3.5,71300
2,2,976,1961,1,64900,41204,56000,3.38,64900
2,1.75,1031,1983,2,75000,41430,125000,4.07,125000
2,2,1268,1980,2,110000,41333,110000,3.53,110000
2,1.75,926,1964,1,80000,41397,80000,3.54,80000
1,1,804,1965,1,70000,41486,70000,4.37,70000
2,2.25,1086,1981,2,110000,41501,155000,4.46,110000
2,2,985,1971,2,120700,40877,80000,3.99,90000
3,2,1288,1988,2,128300,41451,128000,4.07,128300
2,2,992,1971,2,174900,41453,180000,4.07,174900
2,2,943,1964,2,96500,41479,94500,4.37,94000
2,2,938,1964,4,95000,41516,95000,4.46,95000
2,2,1025,1981,2,115000,41516,134000,4.46,115000
2,1.5,952,1973,2,90000,41394,95000,3.45,76000
2,1.5,1059,1973,2,155900,41388,140000,3.45,149900
1,1,670,1972,1,50000,41514,55000,4.46,70000
2,2,1121,1964,2,185000,41514,193000,4.46,185000
2,1.5,986,1972,2,70000,41320,85000,3.53,70000
2,2.25,1164,1983,2,168000,40994,165000,3.95,165000
2,1.75,882,1987,2,128900,41281,116000,3.41,128900
2,3,1148,1983,2,189000,41498,189000,4.46,189000
2,2,944,1965,0,124000,40994,63799,3.95,70400
3,2,1445,1964,2,277900,41352,270000,3.57,277900
2,3,1632,1966,4,235000,41443,265000,4.07,265000
1,1,941,1989,1,157900,41449,157900,4.07,157900
3,1.75,1595,1964,2,245000,41452,270000,4.07,245000
3,2.5,1274,1990,2,160000,41516,185000,4.46,160000
3,2.5,1364,1986,2,325000,41248,250000,3.35,266800
3,2.5,1231,1983,1,119900,41334,141000,3.57,119900
2,2,840,1962,1,119000,41408,120000,3.54,119000
1,2,868,1982,1,59000,41479,69700,4.37,59000
1,2,868,1982,2,99000,41486,105000,4.37,99000
1,1,635,1959,1,60600,41389,53100,3.45,46750
2,3,893,1989,2,182900,41402,182900,3.54,182900
2,2,954,1985,2,184900,41418,175000,3.54,184900
3,1.75,1199,1986,3,134250,41409,134250,3.54,134250
2,1,856,1962,2,80000,41383,105000,3.45,80000
2,1.5,1178,1982,2,98000,41257,98000,3.35,98000
2,1.75,1104,1964,1,135000,41243,140000,3.35,140000
2,3,1051,1989,2,176900,41397,176900,3.54,156900
3,2,1086,1989,2,217000,41414,161000,3.54,115000
2,1.75,1094,1961,1,90000,41226,105000,3.35,90000
3,1.5,1493,1964,2,269900,41453,290500,4.07,269900
3,3,1654,1966,2,295000,41467,290000,4.37,295000
2,2,1128,1986,2,156000,41439,157000,4.07,156000
